Epoch,Train_Loss,Val_Score
1,1.1625,0.0000
2,1.0025,0.0000
3,0.8630,0.0000
4,0.7566,0.1782
5,0.6800,0.1854
6,0.6253,0.2050
7,0.5871,0.1265
8,0.5437,0.0143
9,0.5036,0.0873
10,0.4590,0.1132
11,0.4188,0.2950
12,0.4016,0.2387
13,0.3644,0.2225
14,0.3494,0.2211
15,0.3273,0.2428
16,0.3103,0.2674
17,0.3013,0.2480
18,0.2899,0.4221
19,0.2891,0.6128
20,0.2819,0.5771
21,0.2769,0.5312
22,0.2712,0.5003
23,0.2738,0.5097
24,0.2789,0.5299
25,0.2715,0.5512
26,0.2805,0.5509
27,0.2677,0.5624
28,0.2669,0.5658
29,0.2733,0.5800
30,0.2695,0.5866
31,0.2673,0.5906
32,0.2733,0.5966
33,0.2710,0.5984
34,0.2712,0.5976
35,0.2654,0.5983
36,0.2656,0.5998
37,0.2816,0.6031
38,0.2675,0.6094
39,0.2774,0.6050
40,0.2779,0.6008
41,0.2655,0.6020
42,0.2648,0.6093
43,0.2659,0.6129
44,0.2645,0.6152
45,0.2656,0.6176
46,0.2673,0.6149
47,0.2666,0.6175
48,0.2645,0.6199
49,0.2698,0.6180
50,0.2653,0.6212
51,0.2683,0.6199
52,0.2687,0.6194
53,0.2671,0.6235
54,0.2694,0.6235
55,0.2688,0.6209
56,0.2606,0.6179
57,0.2667,0.6199
58,0.2641,0.6195
59,0.2686,0.6200
60,0.2741,0.6139
61,0.2719,0.6117
62,0.2697,0.6108
63,0.2650,0.6180
64,0.2647,0.6197
65,0.2731,0.6178
66,0.2667,0.6167
67,0.2656,0.6232
68,0.2620,0.6295
69,0.2705,0.6265
70,0.2687,0.6310
71,0.2713,0.6325
72,0.2681,0.6301
73,0.2662,0.6298
74,0.2791,0.6269
75,0.2621,0.6284
76,0.2654,0.6314
77,0.2632,0.6326
78,0.2693,0.6385
79,0.2695,0.6396
80,0.2692,0.6436
81,0.2647,0.6436
82,0.2620,0.6411
83,0.2642,0.6485
84,0.2622,0.6495
85,0.2668,0.6448
86,0.2646,0.6440
87,0.2686,0.6445
88,0.2585,0.6443
89,0.2637,0.6477
90,0.2734,0.6486
91,0.2607,0.6512
92,0.2640,0.6534
93,0.2597,0.6506
94,0.2648,0.6508
95,0.2588,0.6494
96,0.2657,0.6484
97,0.2668,0.6509
98,0.2592,0.6446
99,0.2615,0.6433
100,0.2716,0.6434
101,0.2677,0.6473
102,0.2649,0.6522
103,0.2766,0.6516
104,0.2699,0.6537
105,0.2593,0.6530
106,0.2662,0.6522
107,0.2633,0.6550
108,0.2627,0.6569
109,0.2612,0.6567
110,0.2629,0.6566
111,0.2590,0.6605
112,0.2604,0.6551
113,0.2613,0.6582
114,0.2585,0.6567
115,0.2601,0.6561
116,0.2624,0.6516
117,0.2593,0.6470
118,0.2621,0.6453
119,0.2570,0.6527
120,0.2639,0.6566
121,0.2666,0.6518
122,0.2575,0.6557
123,0.2560,0.6545
124,0.2591,0.6553
125,0.2622,0.6583
126,0.2638,0.6523
127,0.2560,0.6516
128,0.2605,0.6546
129,0.2686,0.6498
130,0.2670,0.6514
131,0.2650,0.6472
132,0.2655,0.6489
133,0.2559,0.6444
134,0.2615,0.6481
135,0.2589,0.6536
136,0.2645,0.6571
137,0.2598,0.6604
138,0.2602,0.6575
139,0.2581,0.6572
140,0.2576,0.6529
141,0.2558,0.6544
142,0.2557,0.6570
143,0.2609,0.6595
144,0.2555,0.6596
145,0.2624,0.6588
146,0.2567,0.6554
147,0.2613,0.6566
148,0.2639,0.6525
149,0.2569,0.6468
150,0.2581,0.6516
151,0.2540,0.6573
152,0.2539,0.6569
153,0.2560,0.6533
154,0.2575,0.6576
155,0.2600,0.6556
156,0.2538,0.6601
157,0.2613,0.6589
158,0.2547,0.6618
159,0.2624,0.6628
160,0.2557,0.6593
161,0.2594,0.6574
162,0.2593,0.6525
163,0.2601,0.6523
164,0.2554,0.6504
165,0.2526,0.6559
166,0.2522,0.6606
167,0.2589,0.6618
168,0.2520,0.6632
169,0.2536,0.6600
170,0.2696,0.6558
171,0.2651,0.6532
172,0.2685,0.6554
173,0.2681,0.6572
174,0.2516,0.6438
175,0.2583,0.6508
176,0.2575,0.6513
177,0.2595,0.6547
178,0.2483,0.6598
179,0.2528,0.6564
180,0.2505,0.6531
181,0.2544,0.6468
182,0.2529,0.6533
183,0.2615,0.6511
184,0.2509,0.6459
185,0.2574,0.6522
186,0.2490,0.6585
187,0.2581,0.6600
188,0.2580,0.6626
189,0.2473,0.6652
190,0.2482,0.6609
191,0.2551,0.6611
192,0.2612,0.6578
193,0.2566,0.6619
194,0.2494,0.6668
195,0.2591,0.6675
196,0.2493,0.6663
197,0.2518,0.6681
