Epoch,Train_Loss,Val_Score
1,1.2762,0.1527
2,1.1105,0.1527
3,0.9522,0.1524
4,0.8212,0.1546
5,0.7281,0.1535
6,0.6686,0.1548
7,0.6116,0.1634
8,0.5702,0.1408
9,0.5326,0.1590
10,0.4814,0.1777
11,0.4486,0.1726
12,0.4118,0.0694
13,0.3828,0.0091
14,0.3670,0.1866
15,0.3356,0.1323
16,0.3187,0.1206
17,0.3034,0.1612
18,0.2936,0.1987
19,0.2783,0.2722
20,0.2655,0.3686
21,0.2633,0.4368
22,0.2550,0.5330
23,0.2396,0.5759
24,0.2476,0.5936
25,0.2345,0.6245
26,0.2312,0.6438
27,0.2267,0.6614
28,0.2360,0.6639
29,0.2285,0.6634
30,0.2288,0.6584
31,0.2299,0.6599
32,0.2303,0.6730
33,0.2321,0.6788
34,0.2315,0.6863
35,0.2358,0.6921
36,0.2299,0.6955
37,0.2418,0.6987
38,0.2353,0.6983
39,0.2319,0.6973
40,0.2330,0.7001
41,0.2466,0.7013
42,0.2188,0.7024
43,0.2330,0.6942
44,0.2425,0.6969
45,0.2286,0.7041
46,0.2439,0.7045
47,0.2336,0.7077
48,0.2395,0.7026
49,0.2255,0.7069
50,0.2105,0.7043
51,0.2251,0.7060
52,0.2196,0.7016
53,0.2142,0.6922
54,0.2304,0.6929
55,0.2289,0.6964
56,0.2167,0.6970
57,0.2209,0.7016
58,0.2338,0.7027
59,0.2413,0.7024
60,0.2104,0.7017
61,0.2134,0.7018
62,0.2182,0.7023
63,0.2088,0.6996
64,0.2149,0.6994
65,0.2245,0.6950
66,0.2216,0.6941
67,0.2100,0.6935
68,0.2110,0.6953
69,0.2175,0.6941
70,0.2234,0.6943
71,0.2160,0.6969
72,0.2192,0.6953
73,0.2171,0.6933
74,0.2207,0.6931
75,0.2138,0.6893
76,0.2154,0.6904
