Epoch,Train_Loss,Val_Score
1,1.1316,0.1527
2,0.9594,0.1527
3,0.8158,0.0000
4,0.7189,0.0000
5,0.6422,0.0000
6,0.5730,0.1709
7,0.5147,0.1286
8,0.4704,0.0662
9,0.4247,0.1455
10,0.3872,0.0000
11,0.3647,0.0000
12,0.3319,0.0054
13,0.3263,0.0000
14,0.3121,0.0003
15,0.3084,0.0119
16,0.3119,0.0438
17,0.3027,0.1062
18,0.3004,0.1601
19,0.3085,0.2436
20,0.2991,0.3273
21,0.2974,0.3839
22,0.2989,0.4486
23,0.2946,0.5076
24,0.2947,0.5538
25,0.2961,0.6043
26,0.2984,0.6395
27,0.2987,0.6587
28,0.2976,0.6743
29,0.2946,0.6845
30,0.2974,0.6934
31,0.2944,0.6973
32,0.3043,0.6998
33,0.2913,0.7001
34,0.2914,0.7004
35,0.2954,0.7027
36,0.2892,0.7029
37,0.2930,0.7018
38,0.2920,0.7012
39,0.2929,0.7022
40,0.2884,0.7029
41,0.2956,0.7048
42,0.2877,0.7057
43,0.2872,0.7047
44,0.2882,0.7047
45,0.2838,0.7049
46,0.2840,0.7060
47,0.2856,0.7056
48,0.2821,0.7040
49,0.2841,0.7049
50,0.2810,0.7059
51,0.2845,0.7088
52,0.2880,0.7106
53,0.2827,0.7096
54,0.2816,0.7113
55,0.2780,0.7117
56,0.2784,0.7127
57,0.2794,0.7118
58,0.2755,0.7111
59,0.2769,0.7120
60,0.2765,0.7131
61,0.2801,0.7152
62,0.2793,0.7151
63,0.2770,0.7160
64,0.2766,0.7161
65,0.2719,0.7176
66,0.2699,0.7171
67,0.2751,0.7177
68,0.2719,0.7170
69,0.2718,0.7161
70,0.2793,0.7165
71,0.2779,0.7161
72,0.2671,0.7169
73,0.2657,0.7163
74,0.2667,0.7169
75,0.2724,0.7173
76,0.2689,0.7176
77,0.2669,0.7187
78,0.2682,0.7195
79,0.2758,0.7200
80,0.2669,0.7199
81,0.2647,0.7207
82,0.2672,0.7207
83,0.2673,0.7199
84,0.2674,0.7210
85,0.2703,0.7208
86,0.2678,0.7190
87,0.2670,0.7201
88,0.2658,0.7201
89,0.2650,0.7209
90,0.2712,0.7217
91,0.2666,0.7200
92,0.2664,0.7211
93,0.2704,0.7213
94,0.2638,0.7215
95,0.2655,0.7211
96,0.2749,0.7206
97,0.2702,0.7212
98,0.2692,0.7227
99,0.2695,0.7220
100,0.2700,0.7216
101,0.2652,0.7221
102,0.2639,0.7225
103,0.2791,0.7209
104,0.2754,0.7208
105,0.2683,0.7215
106,0.2627,0.7209
107,0.2641,0.7217
108,0.2682,0.7224
109,0.2686,0.7229
110,0.2655,0.7223
111,0.2645,0.7223
112,0.2651,0.7224
113,0.2636,0.7213
114,0.2634,0.7212
115,0.2629,0.7217
116,0.2665,0.7221
117,0.2637,0.7217
118,0.2633,0.7221
119,0.2625,0.7223
120,0.2641,0.7209
121,0.2669,0.7221
122,0.2632,0.7225
123,0.2647,0.7230
124,0.2625,0.7211
125,0.2619,0.7211
126,0.2612,0.7214
127,0.2612,0.7224
128,0.2671,0.7213
129,0.2602,0.7215
130,0.2760,0.7207
131,0.2665,0.7211
132,0.2614,0.7215
133,0.2663,0.7221
134,0.2626,0.7218
135,0.2641,0.7212
136,0.2604,0.7214
137,0.2652,0.7224
138,0.2724,0.7207
139,0.2654,0.7208
140,0.2611,0.7223
141,0.2616,0.7229
142,0.2686,0.7221
143,0.2621,0.7228
144,0.2624,0.7198
145,0.2639,0.7212
146,0.2596,0.7209
147,0.2611,0.7215
148,0.2609,0.7232
149,0.2601,0.7219
150,0.2639,0.7214
151,0.2659,0.7218
152,0.2581,0.7213
153,0.2604,0.7220
154,0.2624,0.7219
155,0.2638,0.7226
156,0.2589,0.7216
157,0.2612,0.7213
158,0.2628,0.7216
159,0.2593,0.7200
160,0.2556,0.7214
161,0.2624,0.7233
162,0.2573,0.7241
163,0.2572,0.7240
164,0.2619,0.7230
165,0.2573,0.7231
166,0.2572,0.7233
167,0.2592,0.7238
168,0.2613,0.7244
169,0.2568,0.7248
170,0.2678,0.7253
171,0.2625,0.7253
172,0.2576,0.7261
173,0.2682,0.7256
174,0.2579,0.7262
175,0.2659,0.7264
176,0.2554,0.7250
177,0.2556,0.7257
178,0.2703,0.7236
179,0.2584,0.7240
180,0.2531,0.7249
181,0.2579,0.7236
182,0.2576,0.7253
183,0.2665,0.7262
184,0.2553,0.7259
185,0.2548,0.7268
186,0.2559,0.7273
187,0.2656,0.7274
188,0.2571,0.7271
189,0.2594,0.7269
190,0.2567,0.7269
191,0.2560,0.7273
192,0.2555,0.7287
193,0.2552,0.7287
194,0.2543,0.7284
195,0.2576,0.7278
196,0.2554,0.7281
197,0.2573,0.7272
198,0.2564,0.7276
199,0.2551,0.7279
200,0.2626,0.7272
