Epoch,Train_Loss,Val_Score
1,1.1002,0.1522
2,1.0650,0.1522
3,1.0475,0.2152
4,1.0255,0.2158
5,1.0070,0.2143
6,0.9949,0.2119
7,0.9809,0.2108
8,0.9700,0.2065
9,0.9513,0.2151
10,0.9349,0.1300
11,0.9252,0.1639
12,0.9214,0.1838
13,0.9190,0.1993
14,0.9154,0.2048
15,0.9139,0.2142
16,0.9117,0.2192
17,0.9042,0.2216
18,0.9033,0.2327
19,0.8998,0.2439
20,0.8994,0.2579
21,0.8948,0.2694
22,0.8922,0.2753
23,0.8896,0.2877
24,0.8835,0.2947
25,0.8872,0.3046
26,0.8795,0.3104
27,0.8767,0.3121
28,0.8753,0.3122
29,0.8701,0.3099
30,0.8673,0.2944
31,0.8629,0.3113
32,0.8595,0.3528
33,0.8558,0.4028
34,0.8557,0.4329
35,0.8517,0.4374
36,0.8485,0.4294
37,0.8468,0.4273
38,0.8486,0.4278
39,0.8454,0.4296
40,0.8402,0.4331
41,0.8360,0.4282
42,0.8352,0.4173
43,0.8343,0.4236
44,0.8323,0.4180
45,0.8337,0.4098
46,0.8321,0.4015
47,0.8315,0.3948
48,0.8383,0.4105
49,0.8316,0.4160
50,0.8297,0.4233
51,0.8320,0.4234
52,0.8310,0.4230
53,0.8361,0.4206
54,0.8304,0.4157
55,0.8313,0.4130
56,0.8340,0.4120
57,0.8297,0.4145
58,0.8315,0.4053
59,0.8302,0.4013
60,0.8289,0.4057
61,0.8296,0.4185
62,0.8311,0.4221
63,0.8320,0.4183
64,0.8329,0.4143
65,0.8297,0.4225
66,0.8328,0.4169
67,0.8301,0.4208
68,0.8307,0.4116
69,0.8311,0.4123
70,0.8280,0.4108
71,0.8295,0.4092
72,0.8316,0.4093
73,0.8304,0.3987
74,0.8292,0.3986
75,0.8311,0.3921
76,0.8279,0.3979
77,0.8298,0.4027
78,0.8290,0.4172
79,0.8308,0.4090
80,0.8292,0.4164
81,0.8313,0.4153
82,0.8302,0.4061
83,0.8289,0.4150
84,0.8305,0.4116
85,0.8308,0.4117
86,0.8291,0.4090
87,0.8303,0.4037
88,0.8298,0.4011
89,0.8326,0.4105
90,0.8274,0.4081
91,0.8284,0.4013
92,0.8270,0.3976
93,0.8272,0.3951
94,0.8275,0.4191
95,0.8285,0.4169
96,0.8277,0.4188
97,0.8263,0.4132
98,0.8287,0.4230
99,0.8263,0.4187
100,0.8271,0.4252
101,0.8292,0.4296
102,0.8245,0.4233
103,0.8276,0.4156
104,0.8288,0.4096
105,0.8266,0.4226
106,0.8277,0.4265
107,0.8274,0.4175
108,0.8252,0.4132
109,0.8294,0.4219
110,0.8269,0.4114
111,0.8272,0.4135
112,0.8257,0.4117
113,0.8251,0.4197
114,0.8275,0.4080
115,0.8277,0.4083
116,0.8220,0.4050
117,0.8245,0.4091
118,0.8269,0.4134
119,0.8262,0.4112
120,0.8260,0.4110
121,0.8279,0.4130
122,0.8254,0.4126
123,0.8225,0.4108
124,0.8228,0.4061
125,0.8256,0.4101
126,0.8250,0.4084
127,0.8251,0.4121
128,0.8237,0.4127
129,0.8250,0.4138
130,0.8260,0.4132
131,0.8263,0.4168
132,0.8252,0.4146
133,0.8244,0.4168
134,0.8246,0.4173
135,0.8262,0.4167
136,0.8251,0.4170
137,0.8236,0.4168
138,0.8258,0.4206
139,0.8238,0.4214
140,0.8255,0.4225
141,0.8225,0.4257
142,0.8246,0.4237
143,0.8229,0.4259
144,0.8242,0.4291
145,0.8228,0.4266
146,0.8234,0.4262
147,0.8241,0.4286
148,0.8244,0.4296
149,0.8301,0.4269
150,0.8202,0.4276
151,0.8222,0.4310
152,0.8256,0.4318
153,0.8252,0.4353
154,0.8253,0.4342
155,0.8243,0.4393
156,0.8203,0.4338
157,0.8244,0.4370
158,0.8214,0.4338
159,0.8212,0.4324
160,0.8232,0.4368
161,0.8214,0.4407
162,0.8200,0.4370
163,0.8224,0.4391
164,0.8220,0.4400
165,0.8231,0.4379
166,0.8211,0.4359
167,0.8206,0.4370
168,0.8210,0.4418
169,0.8259,0.4393
170,0.8205,0.4396
171,0.8273,0.4456
172,0.8231,0.4463
173,0.8237,0.4452
174,0.8208,0.4484
175,0.8198,0.4476
176,0.8214,0.4502
177,0.8172,0.4498
178,0.8232,0.4497
179,0.8218,0.4495
180,0.8207,0.4496
181,0.8181,0.4505
182,0.8199,0.4533
183,0.8204,0.4525
184,0.8172,0.4520
185,0.8198,0.4540
186,0.8192,0.4578
187,0.8198,0.4581
188,0.8206,0.4580
189,0.8189,0.4546
190,0.8179,0.4541
191,0.8187,0.4574
192,0.8207,0.4601
193,0.8186,0.4622
194,0.8221,0.4607
195,0.8177,0.4623
196,0.8183,0.4618
197,0.8194,0.4622
198,0.8169,0.4611
199,0.8182,0.4608
200,0.8162,0.4637
