Epoch,Train_Loss,Val_Score
1,1.1002,0.1522
2,1.0650,0.1522
3,1.0475,0.2152
4,1.0255,0.2158
5,1.0069,0.2143
6,0.9948,0.2118
7,0.9808,0.2108
8,0.9699,0.2066
9,0.9511,0.2153
10,0.9347,0.1311
11,0.9250,0.1641
12,0.9212,0.1841
13,0.9188,0.1993
14,0.9153,0.2050
15,0.9137,0.2146
16,0.9116,0.2190
17,0.9040,0.2217
18,0.9032,0.2336
19,0.8997,0.2444
20,0.8993,0.2584
21,0.8947,0.2698
22,0.8921,0.2764
23,0.8896,0.2876
24,0.8835,0.2959
25,0.8871,0.3046
26,0.8796,0.3127
27,0.8768,0.3158
28,0.8754,0.3164
29,0.8701,0.3123
30,0.8673,0.2934
31,0.8631,0.3044
32,0.8594,0.3402
33,0.8558,0.3908
34,0.8556,0.4287
35,0.8516,0.4361
